ticket_id,stage,stage_title,deliverable,stage_requirement_scope,stage_gate_dependencies,responsible_role,release_milestone,stage_exit_criteria,package_additional_gate,plan_reference,progress_reference
S08-01,S08,"Discovery, curation, sharing and deliberate write-back","Attributed provider-supported trending, new releases, related titles and series-continuation shelves. Provide transparent signal labels and useful cached/local fallback; do not invent popularity metrics.","FR-02 sharing, FR-11–FR-12, FR-34; NFR-03, NFR-05, NFR-07","S02, S03, S07",discovery/frontend and list/backend,Feature-complete beta,"AT-05 discovery/sharing, AT-23, AT-27 account/privacy and AT-28 core-flow checks pass. Every visible capability has a working implementation or clear unsupported state. Goodreads never displays a write-back control.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S08-02,S08,"Discovery, curation, sharing and deliberate write-back","Accessible external/community list browsing/following, local curation/order/sharing and permission checks. Sharing a local list never shares a provider token.","FR-02 sharing, FR-11–FR-12, FR-34; NFR-03, NFR-05, NFR-07","S02, S03, S07",discovery/frontend and list/backend,Feature-complete beta,"AT-05 discovery/sharing, AT-23, AT-27 account/privacy and AT-28 core-flow checks pass. Every visible capability has a working implementation or clear unsupported state. Goodreads never displays a write-back control.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S08-03,S08,"Discovery, curation, sharing and deliberate write-back","Optional Hardcover list write-back for verified mutation capabilities. Add outbox, external correlation/reconciliation, echo prevention, conflict handling and scoped user controls.","FR-02 sharing, FR-11–FR-12, FR-34; NFR-03, NFR-05, NFR-07","S02, S03, S07",discovery/frontend and list/backend,Feature-complete beta,"AT-05 discovery/sharing, AT-23, AT-27 account/privacy and AT-28 core-flow checks pass. Every visible capability has a working implementation or clear unsupported state. Goodreads never displays a write-back control.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S08-04,S08,"Discovery, curation, sharing and deliberate write-back","Refine onboarding and default profiles using task-based usability sessions: connect, find, request, follow, resolve. Progressive disclosure for metadata, ranking and naming.","FR-02 sharing, FR-11–FR-12, FR-34; NFR-03, NFR-05, NFR-07","S02, S03, S07",discovery/frontend and list/backend,Feature-complete beta,"AT-05 discovery/sharing, AT-23, AT-27 account/privacy and AT-28 core-flow checks pass. Every visible capability has a working implementation or clear unsupported state. Goodreads never displays a write-back control.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S08-05,S08,"Discovery, curation, sharing and deliberate write-back","Complete responsive/accessibility states, empty/error/stale views and book/version/source vocabulary. Download state remains distinct from reading progress.","FR-02 sharing, FR-11–FR-12, FR-34; NFR-03, NFR-05, NFR-07","S02, S03, S07",discovery/frontend and list/backend,Feature-complete beta,"AT-05 discovery/sharing, AT-23, AT-27 account/privacy and AT-28 core-flow checks pass. Every visible capability has a working implementation or clear unsupported state. Goodreads never displays a write-back control.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-01,S09,Production readiness and v1.0 release,"Full fault-injection/concurrency suite: worker/API/db restarts, unknown submission, expired leases, disk-full, permission denial, corrupt inputs and backend outages. Close all invariant failures.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-02,S09,Production readiness and v1.0 release,"Versioned backup/restore and upgrade rehearsal covering database, encryption keys, configuration and manifests; restore starts dispatch-paused and reconciles before resuming. Document separate media backup responsibility.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-03,S09,Production readiness and v1.0 release,"Benchmark reference dataset; tune indexes, batch sizes, connection pools and bounded concurrency. Publish measured results against PRD budgets and explain provider latency separately.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-04,S09,Production readiness and v1.0 release,"Security/privacy review, dependency/license inventory, accessible UI verification and log/export redaction. Validate server-side permissions on every affected API.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-05,S09,Production readiness and v1.0 release,"Certify supported ABS/qBittorrent/PostgreSQL versions and filesystem/layout matrix; publish capabilities and limitations. Unknown versions get diagnostics, not an unearned compatibility claim.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S09-06,S09,Production readiness and v1.0 release,"Production images, deployment/upgrade/recovery guides, troubleshooting, release notes, changelog and release evidence package. Document settings migration and safe rollback/restore boundaries.","FR-15 recovery, FR-35–FR-36; all v1 requirements and NFRs",S00–S08 gates,"release/platform, QA, all module owners",Production v1.0,"all FR-01–FR-36 and NFR-01–NFR-12 have passing mapped evidence; AT-01–AT-30 release scope is complete. No unresolved P0/P1 integrity, authorization, duplicate-download or mandatory workflow failure. Optional capability restrictions are documented consistently with the PRD, not used to hide an unfinished required integration.",,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-01,S10,Expansion releases,Opt-in quality upgrades and replacement policies,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,AT-31: retain old availability until replacement confirmation; preserve seed paths; explicit retention and rollback,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-02,S10,Expansion releases,Existing-import reorganization and selected metadata push,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,"AT-31: preview/diff, collision handling, resumable movement, ABS identity/progress preservation; uncertain preservation blocks execution",IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-03,S10,Expansion releases,BookOrbit/other library adapters,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,AT-32: independent inventory/version/layout contract; no assumption of ABS behavior,IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-04,S10,Expansion releases,Additional recommendation/catalog/community providers,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,"AT-33: capability, attribution, identity, privacy and usefulness evidence",IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-05,S10,Expansion releases,Additional download clients and Usenet,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,"AT-34: submission reconciliation, completed-file ownership, cleanup and import lifecycle for the actual client",IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
S10-06,S10,Expansion releases,OIDC/SSO,FR-37–FR-42,Stable v1 and relevant module gates,relevant module owner,Post-v1,Each S10 package is a separately qualified release; apply its additional gate and affected v1 regressions.,"AT-35: secure account linking, ownership preservation, grant enforcement and local recovery",IMPLEMENTATION-PLAN.md,docs/IMPLEMENTATION-STATUS.md
